language,level,verb,translation
spanish,A1,viajar,podróżować
spanish,A1,cocinar,gotować
spanish,A1,limpiar,czyścić
spanish,A1,lavar,myć
spanish,A1,dormir,spać
spanish,A1,despertar,budzić się
spanish,A1,levantarse,wstawać
spanish,A1,acostarse,kłaść się spać
spanish,A1,vestirse,ubierać się
spanish,A1,beber,pić
spanish,A1,correr,biegać
spanish,A1,caminar,chodzić
spanish,A1,cantar,śpiewać
spanish,A1,bailar,tańczyć
spanish,A1,nadar,pływać
spanish,A1,conducir,prowadzić (samochód)
spanish,A1,montar,"jeździć (na rowerze, konno)"
spanish,A1,usar,używać
spanish,A1,probar,próbować
spanish,A1,preguntar,pytać
spanish,A1,responder,odpowiadać
spanish,A1,ganar,"wygrywać, zarabiać"
spanish,A1,gastar,wydawać
spanish,A1,amar,kochać
spanish,A1,odiar,nienawidzić
spanish,A1,recordar,pamiętać
spanish,A1,olvidar,zapominać
spanish,A1,mostrar,pokazywać
spanish,A1,oír,słyszeć
spanish,A1,traer,przynosić
spanish,A1,sentarse,siadać
spanish,A1,pararse,wstawać
spanish,A1,cambiar,zmieniać
spanish,A1,parar,zatrzymywać się
spanish,A1,hablar,mówić
spanish,A1,leer,czytać
spanish,A1,gastar,wydawać
spanish,A1,crecer,rosnąć
spanish,A1,abrir,otwierać
spanish,A1,ganar,wygrywać
spanish,A1,ofrecer,oferować
spanish,A1,recordar,pamiętać
spanish,A1,amar,kochać
spanish,A1,esperar,czekać
spanish,A1,enviar,wysyłać
spanish,A1,quedarse,zostawać
spanish,A1,caer,upadać
spanish,A1,cortar,ciąć
spanish,A1,dormir,spać
spanish,A1,comer,jeść
spanish,A1,beber,pić
spanish,A1,comprar,kupować
spanish,A1,vender,sprzedawać
spanish,A1,tomar,brać
spanish,A1,cerrar,zamykać
spanish,A1,volar,latać
spanish,A1,nadar,pływać
spanish,A1,cantar,śpiewać
spanish,A1,bailar,tańczyć
spanish,A1,conducir,prowadzić
spanish,A1,montar,jeździć
spanish,A1,cocinar,gotować
spanish,A1,limpiar,czyścić
spanish,A1,lavar,myć
spanish,A1,escuchar,słuchać
spanish,A1,estudiar,uczyć się
spanish,A1,enseñar,nauczać
spanish,A1,responder,odpowiadać
spanish,A1,romper,łamać
spanish,A1,construir,budować
spanish,A1,elegir,wybierać
spanish,A1,dibujar,rysować
spanish,A1,soñar,"marzyć, śnić"
spanish,A1,explicar,wyjaśniać
spanish,A1,olvidar,zapominać
spanish,A1,esperar,mieć nadzieję
spanish,A1,saltar,skakać
spanish,A1,reír,śmiać się
spanish,A1,llorar,płakać
spanish,A1,sonreír,uśmiechać się
spanish,A1,pintar,malować
spanish,A1,planear,planować
spanish,A1,llover,padać (deszcz)
spanish,A1,descansar,odpoczywać
spanish,A1,compartir,dzielić się
spanish,A1,gritar,krzyczeć
spanish,A1,oler,"pachnieć, wąchać"
spanish,A1,nevar,padać (śnieg)
spanish,A1,despertarse,budzić się
spanish,A1,llevar puesto,nosić (ubranie)
spanish,A1,preocuparse,martwić się
spanish,A2,aceptar,akceptować
spanish,A2,lograr,osiągać
spanish,A2,actuar,działać
spanish,A2,añadir,dodawać
spanish,A2,admitir,przyznawać
spanish,A2,aconsejar,radzić
spanish,A2,permitirse,pozwolić sobie na
spanish,A2,permitir,pozwalać
spanish,A2,anunciar,ogłaszać
spanish,A2,disculparse,przepraszać
spanish,A2,aparecer,pojawiać się
spanish,A2,solicitar,aplikować
spanish,A2,discutir,kłócić się
spanish,A2,organizar,organizować
spanish,A2,arrestar,aresztować
spanish,A2,atacar,atakować
spanish,A2,asistir,uczęszczać
spanish,A2,atraer,przyciągać
spanish,A2,evitar,unikać
spanish,A2,hornear,piec
spanish,A2,golpear,"bić, pokonać"
spanish,A2,comportarse,zachowywać się
spanish,A2,pertenecer,należeć
spanish,A2,hervir,gotować (w wodzie)
spanish,A2,reservar,rezerwować
spanish,A2,respirar,oddychać
spanish,A2,quemar,"palić się, parzyć"
spanish,A2,calcular,obliczać
spanish,A2,acampar,obozować
spanish,A2,importar,"dbać, przejmować się"
spanish,A2,causar,powodować
spanish,A2,celebrar,świętować
spanish,A2,charlar,"rozmawiać, czatować"
spanish,A2,revisar,sprawdzać
spanish,A2,animar,dopingować
spanish,A2,aclarar,"czyścić, wyjaśniać"
spanish,A2,combinar,łączyć
spanish,A2,comunicarse,komunikować się
spanish,A2,comparar,porównywać
spanish,A2,competir,rywalizować
spanish,A2,quejarse,narzekać
spanish,A2,completar,ukończyć
spanish,A2,concentrarse,koncentrować się
spanish,A2,concernir,"dotyczyć, martwić"
spanish,A2,confirmar,potwierdzać
spanish,A2,conectar,łączyć
spanish,A2,considerar,rozważać
spanish,A2,consistir,składać się
spanish,A2,contener,zawierać
spanish,A2,continuar,kontynuować
spanish,A2,controlar,kontrolować
spanish,A2,copiar,kopiować
spanish,A2,corregir,poprawiać
spanish,A2,costar,kosztować
spanish,A2,cubrir,przykrywać
spanish,A2,chocar,rozbić się
spanish,A2,crear,tworzyć
spanish,A2,cruzar,"przechodzić, krzyżować"
spanish,A2,dañar,uszkadzać
spanish,A2,lidiar con,radzić sobie z
spanish,A2,defender,bronić
spanish,A2,definir,definiować
spanish,A2,retrasar,opóźniać
spanish,A2,entregar,dostarczać
spanish,A2,depender,zależeć
spanish,A2,describir,opisywać
spanish,A2,merecer,zasługiwać
spanish,A2,diseñar,projektować
spanish,A2,destruir,niszczyć
spanish,A2,desarrollar,rozwijać
spanish,A2,no estar de acuerdo,nie zgadzać się
spanish,A2,desaparecer,znikać
spanish,A2,descubrir,odkrywać
spanish,A2,discutir,dyskutować
spanish,A2,dividir,dzielić
spanish,A2,dudar,wątpić
spanish,A2,descargar,pobierać
spanish,A2,dejar caer,upuszczać
spanish,A2,ganar (dinero),zarabiać
spanish,A2,educar,edukować
spanish,A2,animar,zachęcać
spanish,A2,terminar,kończyć
spanish,A2,escapar,uciekać
spanish,A2,examinar,badać
spanish,A2,existir,istnieć
spanish,A2,esperar (oczekiwać),oczekiwać
spanish,A2,experimentar,doświadczać
spanish,A2,fallar,"oblać, zawieść"
spanish,A2,temer,bać się
spanish,A2,alimentar,karmić
spanish,A2,luchar,walczyć
spanish,A2,llenar,napełniać
spanish,A2,arreglar,naprawiać
spanish,A2,perdonar,wybaczać
spanish,A2,congelar,zamarzać
spanish,A2,freír,smażyć
spanish,A2,reunir,zbierać
spanish,A2,saludar,witać
spanish,A2,crecer,dorastać
spanish,A2,vigilar,strzec
spanish,A2,guiar,prowadzić
spanish,A2,manejar,"radzić sobie, obsługiwać"
spanish,A2,colgar,wieszać
spanish,A2,dirigirse,kierować się
spanish,A2,calentar,podgrzewać
spanish,A2,esconder,chować
spanish,A2,golpear,uderzać
spanish,A2,abrazar,przytulać
spanish,A2,cazar,polować
spanish,A2,identificar,identyfikować
spanish,A2,ignorar,ignorować
spanish,A2,imaginar,wyobrażać sobie
spanish,A2,impresionar,imponować
spanish,A2,mejorar,polepszać
spanish,A2,incluir,zawierać
spanish,A2,aumentar,zwiększać
spanish,A2,influir,wpływać
spanish,A2,informar,informować
spanish,A2,insistir,nalegać
spanish,A2,instalar,instalować
spanish,A2,presentar,przedstawiać
spanish,A2,inventar,wynaleźć
spanish,A2,invertir,inwestować
spanish,A2,planchar,prasować
spanish,A2,bromear,żartować
spanish,A2,juzgar,"oceniać, sądzić"
spanish,A2,patear,kopać
spanish,A2,besar,całować
spanish,A2,llamar a la puerta,pukać
spanish,A2,durar,trwać
spanish,A2,dirigir,prowadzić
spanish,A2,levantar,podnosić
spanish,A2,cerrar con llave,zamykać na klucz
spanish,A2,gestionar,zarządzać
spanish,A2,marcar,zaznaczać
spanish,A2,importar,mieć znaczenie
spanish,A2,medir,mierzyć
spanish,A2,mencionar,wspominać
spanish,A2,importar (molestar),mieć coś przeciwko
spanish,A2,mezclar,mieszać
spanish,A2,notar,zauważać
spanish,B1,abandonar,porzucać
spanish,B1,acompañar,towarzyszyć
spanish,B1,acusar,oskarżać
spanish,B1,reconocer,"uznawać, przyznawać"
spanish,B1,adquirir,nabywać
spanish,B1,adaptar,adaptować
spanish,B1,ajustar,dostosować
spanish,B1,admirar,podziwiać
spanish,B1,adoptar,adoptować
spanish,B1,avanzar,"postępować, awansować"
spanish,B1,anunciar,reklamować
spanish,B1,afectar,wpływać na
spanish,B1,ayudar,pomagać
spanish,B1,apuntar,celować
spanish,B1,alterar,zmieniać
spanish,B1,divertir,bawić
spanish,B1,analizar,analizować
spanish,B1,anticipar,przewidywać
spanish,B1,apreciar,doceniać
spanish,B1,acercarse,zbliżać się
spanish,B1,aprobar,zatwierdzać
spanish,B1,surgir,powstawać
spanish,B1,armar,uzbrajać
spanish,B1,afirmar,"twierdzić, zapewniać"
spanish,B1,evaluar,oceniać
spanish,B1,asignar,przypisywać
spanish,B1,asistir,"asystować, pomagać"
spanish,B1,asociar,kojarzyć
spanish,B1,asumir,zakładać
spanish,B1,asegurar,zapewniać
spanish,B1,adjuntar,załączać
spanish,B1,intentar,próbować
spanish,B1,atribuir,przypisywać
spanish,B1,esperar,oczekiwać
spanish,B1,premiar,nagradzać
spanish,B1,respaldar,popierać
spanish,B1,prohibir,zakazywać
spanish,B1,descubrir,odsłaniać
spanish,B1,bañarse,kąpać się
spanish,B1,rogar,błagać
spanish,B1,doblar,zginać
spanish,B1,apostar,zakładać się
spanish,B1,atar,wiązać
spanish,B1,morder,gryźć
spanish,B1,culpar,winić
spanish,B1,bendecir,błogosławić
spanish,B1,cegar,oślepiać
spanish,B1,bloquear,blokować
spanish,B1,soplar,dmuchać
spanish,B1,presumir,chwalić się
spanish,B1,vincular,wiązać
spanish,B1,aburrir,nudzić
spanish,B1,molestar,przeszkadzać
spanish,B1,rebotar,odbijać się
spanish,B1,inclinar,kłaniać się
spanish,B1,ramificar,rozgałęziać się
spanish,B1,transmitir,nadawać
spanish,B1,enterrar,grzebać
spanish,B1,calmar,uspokajać
spanish,B1,capturar,chwytać
spanish,B1,lanzar,rzucać
spanish,B1,cesar,przestawać
spanish,B1,cargar,"ładować, oskarżać"
spanish,B1,perseguir,gonić
spanish,B1,engañar,oszukiwać
spanish,B1,masticar,żuć
spanish,B1,reclamar,twierdzić
spanish,B1,aclarar,wyjaśniać
spanish,B1,clasificar,klasyfikować
spanish,B1,aferrarse,trzymać się kurczowo
spanish,B1,colapsar,zawalić się
spanish,B1,recoger,zbierać
spanish,B1,mandar,rozkazywać
spanish,B1,comentar,komentować
spanish,B1,cometer,popełnić
spanish,B1,obligar,zmuszać
spanish,B1,compensar,rekompensować
spanish,B1,componer,komponować
spanish,B1,comprender,rozumieć
spanish,B1,comprometer,iść na kompromis
spanish,B1,calcular,obliczać
spanish,B1,ocultar,ukrywać
spanish,B1,conceder,przyznawać
spanish,B1,concebir,"pojąć, począć"
spanish,B1,concluir,"wnioskować, kończyć"
spanish,B1,condenar,potępiać
spanish,B1,conducir,prowadzić
spanish,B1,conferir,naradzać się
spanish,B1,confesar,wyznawać
spanish,B1,confiar,zwierzać się
spanish,B1,confinar,ograniczać
spanish,B1,confrontar,konfrontować
spanish,B1,confundir,mylić
spanish,B1,consentir,zgadzać się
spanish,B1,conservar,konserwować
spanish,B1,consolar,pocieszać
spanish,B1,constituir,stanowić
spanish,B1,construir,konstruować
spanish,B1,consultar,konsultować
spanish,B1,consumir,konsumować
spanish,B1,contactar,kontaktować się
spanish,B1,contemplar,rozważać
spanish,B1,contender,"twierdzić, zmagać się"
spanish,B1,contestar,kwestionować
spanish,B1,contribuir,przyczyniać się
spanish,B1,convertir,przekształcać
spanish,B1,transmitir,przekazywać
spanish,B1,condenar,skazywać
spanish,B1,convencer,przekonywać
spanish,B1,cooperar,współpracować
spanish,B1,afrontar,radzić sobie
spanish,B1,corresponder,korespondować
spanish,B1,corromper,korumpować
spanish,B1,toser,kaszleć
spanish,B1,aconsejar,radzić
spanish,B1,agrietar,pękać
spanish,B1,gatear,czołgać się
spanish,B1,criticar,krytykować
spanish,B1,curar,leczyć
spanish,B1,curvar,zakrzywiać
spanish,B1,atreverse,ośmielać się
spanish,B1,engañar,oszukiwać
spanish,B1,declarar,deklarować
spanish,B1,declinar,"odmawiać, spadać"
spanish,B1,decorar,dekorować
spanish,B1,disminuir,zmniejszać
spanish,B1,dedicar,dedykować
spanish,B1,derrotar,pokonać
spanish,B1,diferir,odraczać
spanish,B1,delegar,delegować
spanish,B1,deleitar,zachwycać
spanish,B1,demostrar,demonstrować
spanish,B1,negar,zaprzeczać
spanish,B1,partir,odjeżdżać
spanish,B1,representar,przedstawiać
spanish,B1,depositar,wpłacać
spanish,B1,deprimir,przygnębiać
spanish,B1,privar,pozbawiać
spanish,B1,derivar,czerpać
spanish,B1,descender,schodzić
spanish,B1,desertar,opuszczać
spanish,B1,desear,pragnąć
spanish,B1,despreciar,gardzić
spanish,B1,detectar,wykrywać
spanish,B1,determinar,"determinować, określać"
spanish,B1,dedicar,poświęcać
spanish,B1,diagnosticar,diagnozować
spanish,B2,respetar,przestrzegać
spanish,B2,abolir,znosić
spanish,B2,absorber,absorbować
spanish,B2,abusar,nadużywać
spanish,B2,acelerar,przyspieszać
spanish,B2,acomodar,zakwaterować
spanish,B2,acumular,gromadzić
spanish,B2,acostumbrar,przyzwyczajać
spanish,B2,acidificar,zakwaszać
spanish,B2,activar,aktywować
spanish,B2,adherir,"przylegać, trzymać się"
spanish,B2,administrar,administrować
spanish,B2,abogar,popierać
spanish,B2,afirmar,potwierdzać
spanish,B2,afligir,"dotykać, dręczyć"
spanish,B2,agregar,gromadzić
spanish,B2,alienar,zrażać
spanish,B2,alegar,"zarzucać, twierdzić"
spanish,B2,aliviar,łagodzić
spanish,B2,asignar,przydzielać
spanish,B2,enmendar,poprawiać
spanish,B2,amplificar,wzmacniać
spanish,B2,molestar,denerwować
spanish,B2,horrorizar,przerażać
spanish,B2,apelar,apelować
spanish,B2,aplaudir,oklaskiwać
spanish,B2,nombrar,mianować
spanish,B2,valorar,oceniać
spanish,B2,ascender,wznosić się
spanish,B2,averiguar,ustalać
spanish,B2,aspirar,aspirować
spanish,B2,asaltar,atakować
spanish,B2,ensamblar,"gromadzić, montować"
spanish,B2,aseverar,"zapewniać, twierdzić"
spanish,B2,asimilar,asymilować
spanish,B2,asombrar,zdumiewać
spanish,B2,alcanzar,osiągać
spanish,B2,auditar,kontrolować
spanish,B2,aumentar,powiększać
spanish,B2,autorizar,autoryzować
spanish,B2,aprovechar,korzystać
spanish,B2,vengar,mścić
spanish,B2,evitar,zapobiegać
spanish,B2,desconcertar,"zaskakiwać, zbić z tropu"
spanish,B2,golpear,huknąć
spanish,B2,desterrar,wygnać
spanish,B2,negociar,targować się
spanish,B2,irradiar,promieniować
spanish,B2,contemplar,ujrzeć
spanish,B2,otorgar,obdarzać
spanish,B2,traicionar,zdradzać
spanish,B2,tener cuidado,strzec się
spanish,B2,sesgar,uprzedzać
spanish,B2,pujar,licytować
spanish,B2,explotar,wysadzać
spanish,B2,sangrar,krwawić
spanish,B2,mezclar,mieszać
spanish,B2,florecer,kwitnąć
spanish,B2,meter la pata,popełnić gafę
spanish,B2,desdibujar,zacierać
spanish,B2,sonrojarse,rumienić się
spanish,B2,bombardear,bombardować
spanish,B2,impulsar,"pobudzać, zwiększać"
spanish,B2,boicotear,bojkotować
spanish,B2,prepararse,"usztywniać, przygotować się"
spanish,B2,criar,hodować
spanish,B2,informar,instruować
spanish,B2,ampliar,poszerzać
spanish,B2,navegar,przeglądać
spanish,B2,magullar,siniaczyć
spanish,B2,burbujear,pienić się
spanish,B2,abrochar,zapinać
spanish,B2,intimidar,zastraszać
spanish,B2,chocar,uderzyć
spanish,B2,estallar,pękać
spanish,B2,abastecer,zaopatrywać
spanish,B2,certificar,poświadczać
spanish,B2,desafiar,wyzywać
spanish,B2,caracterizar,charakteryzować
spanish,B2,circular,krążyć
spanish,B2,citar,cytować
spanish,B2,chocar,zderzać się
spanish,B2,apretar,zaciskać
spanish,B2,hacer clic,klikać
spanish,B2,culminar,osiągać punkt kulminacyjny
spanish,B2,entrenar,trenować
spanish,B2,coexistir,współistnieć
spanish,B2,coincidir,zbiegać się
spanish,B2,colaborar,współpracować
spanish,B2,colisionar,zderzać się
spanish,B2,combatir,walczyć
spanish,B2,comenzar,rozpoczynać
spanish,B2,elogiar,chwalić
spanish,B2,encargar,zlecać
spanish,B2,viajar diariamente,dojeżdżać
spanish,B2,compilar,kompilować
spanish,B2,complementar,uzupełniać
spanish,B2,cumplir,stosować się
spanish,B2,concebir,wyobrażać sobie
spanish,B2,concentrarse,koncentrować się
spanish,B2,concernir,dotyczyć
spanish,B2,concurrir,zgadzać się
spanish,B2,conferir,nadawać
spanish,B2,configurar,konfigurować
spanish,B2,conformarse,dostosowywać się
spanish,B2,felicitar,gratulować
spanish,B2,congregarse,gromadzić się
spanish,B2,conquistar,podbijać
spanish,B2,consagrar,poświęcać
spanish,B2,conservar,chronić
spanish,B2,consignar,powierzać
spanish,B2,consolidar,konsolidować
spanish,B2,conspirar,spiskować
spanish,B2,consultar,konsultować
spanish,B2,contaminar,zanieczyszczać
spanish,B2,contradecir,zaprzeczać
spanish,B2,contrastar,kontrastować
spanish,B2,convocar,zwoływać
spanish,B2,converger,zbiegać się
spanish,B2,conversar,rozmawiać
spanish,B2,coordinar,koordynować
spanish,B2,correlacionar,korelować
spanish,B2,anhelar,pragnąć
spanish,B2,arrastrarse,skradać się
spanish,B2,lisiar,okaleczyć
spanish,B2,hacer un crucero,płynąć w rejs
spanish,B2,desmoronarse,kruszyć się
spanish,B2,aplastar,miażdżyć
spanish,B2,cultivar,uprawiać
spanish,B2,frenar,ograniczać
spanish,B2,humedecer,zwilżać
spanish,B2,deslumbrar,oślepiać
spanish,B2,debatir,debatować
spanish,B2,decaer,rozkładać się
spanish,B2,descifrar,odszyfrować
spanish,B2,deducir,dedukować
spanish,B2,considerar,uznawać
spanish,B2,incumplir,nie uiścić
spanish,B2,desviar,odchylać
spanish,B2,deformar,deformować
spanish,B2,desafiar,przeciwstawiać się
spanish,B2,degradar,degradować
spanish,B2,eliminar,usuwać
spanish,C1,disminuir,słabnąć
spanish,C1,abdicar,abdykować
spanish,C1,aborrecer,brzydzić się
spanish,C1,abundar,obfitować
spanish,C1,abreviar,skracać
spanish,C1,absolver,rozgrzeszać
spanish,C1,abstenerse,powstrzymywać się
spanish,C1,acentuar,akcentować
spanish,C1,aclamar,oklaskiwać
spanish,C1,acumularse,narastać
spanish,C1,consentir,zgadzać się (niechętnie)
spanish,C1,aplazar,odraczać
spanish,C1,amonestar,upominać
spanish,C1,adornar,zdobić
spanish,C1,adulterar,fałszować
spanish,C1,afiliar,przyłączać
spanish,C1,agravar,pogarszać
spanish,C1,agitar,agitować
spanish,C1,doler,dolegać
spanish,C1,aludir,nawiązywać
spanish,C1,seducir,wabić
spanish,C1,alternar,zmieniać się
spanish,C1,fusionar,łączyć
spanish,C1,emboscar,zasadzać się
spanish,C1,mejorar,ulepszać
spanish,C1,anexar,anektować
spanish,C1,aniquilar,unicestwiać
spanish,C1,anular,anulować
spanish,C1,ungir,namaszczać
spanish,C1,contrariar,antagonizować
spanish,C1,apaciguar,łagodzić
spanish,C1,pertenecer,przynależeć
spanish,C1,arbitrar,rozsądzać
spanish,C1,despertar,wzbudzać
spanish,C1,procesar,oskarżać
spanish,C1,articular,wyrażać
spanish,C1,asentir,zgadzać się
spanish,C1,atestiguar,zaświadczać
spanish,C1,subastar,licytować
spanish,C1,auditar,rewidować
spanish,C1,evitar,odwracać
spanish,C1,acosar,dręczyć
spanish,C1,resistirse,wzbraniać się
spanish,C1,disfrutar,wygrzewać się
spanish,C1,menospreciar,umniejszać
spanish,C1,lamentar,opłakiwać
spanish,C1,confundir,oszałamiać
spanish,C1,legar,zapisywać w testamencie
spanish,C1,reprender,besztać
spanish,C1,suplicar,błagać
spanish,C1,sitiar,oblegać
spanish,C1,desconcertar,oszałamiać
spanish,C1,reñir,sprzeczać się
spanish,C1,chismorrear,wygadać
spanish,C1,chantajear,szantażować
spanish,C1,reforzar,wzmacniać
spanish,C1,blandir,wymachiwać
spanish,C1,infringir,naruszać
spanish,C1,incubar,rozmyślać
spanish,C1,intimidar,zastraszać
spanish,C1,chapucear,partaczyć
spanish,C1,animar,podtrzymywać na duchu
spanish,C1,florecer,rozwijać się
spanish,C1,apuntalar,podpierać
spanish,C1,camelar,nakłaniać
spanish,C1,calibrar,kalibrować
spanish,C1,hacer campaña,agitować
spanish,C1,capitular,kapitulować
spanish,C1,cautivar,urzekać
spanish,C1,acariciar,pieścić
spanish,C1,castigar,karać
spanish,C1,censurar,cenzurować
spanish,C1,castigar,karać
spanish,C1,hacer crónica,kronikować
spanish,C1,circunnavegar,opływać
spanish,C1,eludir,omijać
spanish,C1,coaccionar,zmuszać
spanish,C1,conmemorar,upamiętniać
spanish,C1,compadecerse,współczuć
spanish,C1,condensar,skraplać
spanish,C1,condonar,tolerować
spanish,C1,confiscar,konfiskować
spanish,C1,confundir,mieszać
spanish,C1,congelar,krzepnąć
spanish,C1,congregarse,gromadzić się
spanish,C1,conjurar,wyczarowywać
spanish,C1,connotar,kojarzyć się
spanish,C1,reclutar,pobierać do wojska
spanish,C1,consagrar,poświęcać
spanish,C1,contravenir,naruszać
spanish,C1,corroborar,potwierdzać
spanish,C1,encogerse,kulić się
spanish,C1,recortar,ograniczać
spanish,C1,incursionar,parać się
spanish,C1,amedrentar,zniechęcać
spanish,C1,debilitar,osłabiać
spanish,C1,desacreditar,demaskować
spanish,C1,diezmar,dziesiątkować
spanish,C1,deducir,odliczać
spanish,C1,difamar,zniesławiać
spanish,C1,defraudar,defraudować
spanish,C1,degenerar,degenerować się
spanish,C1,deshidratar,odwadniać
spanish,C1,deliberar,rozważać
spanish,C1,delinear,nakreślać
spanish,C1,engañar,łudzić
spanish,C1,demoler,burzyć
spanish,C1,denunciar,potępiać
spanish,C1,agotar,wyczerpywać
spanish,C1,deplorar,ubolewać
spanish,C1,desplegar,rozmieszczać
spanish,C1,deportar,deportować
spanish,C1,depravar,deprawować
spanish,C1,desaprobar,potępiać
spanish,C1,ridiculizar,szydzić
spanish,C1,profanar,bezcześcić
spanish,C1,designar,wyznaczać
spanish,C1,desistir,zaprzestawać
spanish,C1,desesperar,rozpaczać
spanish,C1,disuadir,odstraszać
spanish,C1,deteriorar,pogarszać się
spanish,C1,detestar,nienawidzić
spanish,C1,detonar,detonować
spanish,C1,restar,umniejszać
spanish,C1,devastar,dewastować
spanish,C1,desviarse,odbiegać
spanish,C1,idear,wymyślać
spanish,C1,devorar,pochłaniać
spanish,C1,dictar,dyktować
spanish,C1,diferenciar,różnicować
spanish,C1,difundir,rozpraszać
spanish,C1,divagar,robić dygresję
spanish,C1,dilatar,rozszerzać
spanish,C1,disminuir,zmniejszać
spanish,C1,incapacitar,okaleczać
spanish,C1,desarmar,rozbrajać
spanish,C1,disolver,rozwiązywać
spanish,C1,desembolsar,wypłacać
spanish,C1,descartar,odrzucać
spanish,C1,discernir,rozróżniać
spanish,C2,abnegar,wyrzekać się
spanish,C2,abrogar,uchylać
spanish,C2,fugarse,zbiec
spanish,C2,acceder,przystępować
spanish,C2,aducir,przytaczać
spanish,C2,adjudicar,rozsądzać
spanish,C2,esbozar,naszkicować
spanish,C2,engrandecer,powiększać
spanish,C2,asignar,przydzielać
spanish,C2,calmar,uspokajać
spanish,C2,amortizar,amortyzować
spanish,C2,anotar,opatrywać przypisami
spanish,C2,apostrofar,apostrofować
spanish,C2,informar,informować
spanish,C2,apropiarse,przywłaszczać
spanish,C2,arrogarse,uzurpować
spanish,C2,difamar,oczerniać
spanish,C2,aseverar,zapewniać
spanish,C2,mitigar,łagodzić
spanish,C2,expiar,odpokutować
spanish,C2,atrofiarse,zanikać
spanish,C2,atenuar,osłabiać
spanish,C2,afirmar,twierdzić
spanish,C2,engatusar,ogłupiać
spanish,C2,engalanar,przystrajać
spanish,C2,enlodar,ubłocić
spanish,C2,aturdir,ogłupiać
spanish,C2,engendrar,płodzić
spanish,C2,envidiar,zazdrościć
spanish,C2,seducir,uwodzić
spanish,C2,machacar,wałkować
spanish,C2,acosar,nękać
spanish,C2,desmentir,zadawać kłam
spanish,C2,deshonrar,plamić
spanish,C2,bifurcarse,rozdwajać się
spanish,C2,estafar,wyłudzać
spanish,C2,arruinar,niszczyć
spanish,C2,blandir,potrząsać
spanish,C2,soportar,znosić
spanish,C2,bruñir,polerować
spanish,C2,calumniar,oczerniać
spanish,C2,canonizar,kanonizować
spanish,C2,sondear,badać opinię
spanish,C2,criticar,narzekać
spanish,C2,poner pegas,czepiać się
spanish,C2,retozar,brykać
spanish,C2,escarmentar,karcić
spanish,C2,reprender,strofować
spanish,C2,circunscribir,ograniczać
spanish,C2,empalagar,przesycać
spanish,C2,fusionarse,łączyć się
spanish,C2,mimar,rozpieszczać
spanish,C2,cogitar,rozmyślać
spanish,C2,cotejar,porównywać
spanish,C2,comportarse,zachowywać się
spanish,C2,refundir,łączyć
spanish,C2,refutar,obalać
spanish,C2,confabularse,patrzeć przez palce
spanish,C2,consagrar,poświęcać
spanish,C2,interpretar,interpretować
spanish,C2,consumar,doprowadzać do końca
spanish,C2,despreciar,gardzić
spanish,C2,controvertir,kwestionować
spanish,C2,convocar,zwoływać
spanish,C2,brillar,błyszczeć
spanish,C2,mimar,pieścić
spanish,C2,aprobar,aprobować
spanish,C2,contraordenar,odwoływać
spanish,C2,engañar,oszukiwać
spanish,C2,incinerar,kremować
spanish,C2,culminar,kulminować
spanish,C2,perder el tiempo,bawić się
spanish,C2,degradar,poniżać
spanish,C2,criticar,potępiać
spanish,C2,desfigurar,szpecić
spanish,C2,desfalcar,defraudować
spanish,C2,defenestrar,wyrzucić przez okno
spanish,C2,delaminar,rozwarstwiać się
spanish,C2,objetar,wahać się
spanish,C2,denigrar,oczerniać
spanish,C2,desnudar,ogołacać
spanish,C2,deponer,detronizować
spanish,C2,depredar,rabować
spanish,C2,desarraigar,wykorzeniać
spanish,C2,divisar,dostrzegać
spanish,C2,despojar,łupić
spanish,C2,descamar,złuszczać się
spanish,C2,diatriba,diatryba
spanish,C2,difractar,uginać
spanish,C2,desengañar,wyprowadzać z błędu
spanish,C2,desafectar,zrażać
spanish,C2,repudiar,wyrzekać się
spanish,C2,desconcertar,peszyć
spanish,C2,desconcertar,zaskakiwać
spanish,C2,discurrir,dyskurs
spanish,C2,desenredar,rozplątywać
spanish,C2,vomitar,wyrzucać z siebie
spanish,C2,desgreñar,mierzwić
spanish,C2,desenterrar,odkopywać
spanish,C2,desprestigiar,dyskredytować
spanish,C2,divertirse,bawić się
spanish,C2,disimular,udawać
spanish,C2,diseminar,rozpowszechniać
spanish,C2,disipar,rozpraszać
spanish,C2,disociar,dystansować się
spanish,C2,distender,rozdymać
spanish,C2,divagar,błądzić
spanish,C2,despojar,pozbawiać
spanish,C2,divulgar,ujawniać
spanish,C2,dogmatizar,dogmatyzować
spanish,C2,encajar,pasować
spanish,C2,endulzar,osładzać
spanish,C2,escalonar,szczebel
spanish,C2,borrar,zacierać
spanish,C2,efervescer,musować
spanish,C2,eflorecer,kwitnąć
spanish,C2,efundir,wylewać
spanish,C2,salir,wychodzić
spanish,C2,eyacular,wytryskiwać
spanish,C2,elidir,pomijać
spanish,C2,elucidar,wyjaśniać
spanish,C2,emanar,emanować
spanish,C2,emancipar,emancypować
spanish,C2,embellecer,upiększać
spanish,C2,desfalcar,defraudować
spanish,C2,blasonar,ozdabiać
spanish,C2,repujar,wytłaczać
spanish,C2,enmendar,poprawiać
spanish,C2,emular,naśladować
spanish,C2,promulgar,uchwalać
spanish,C2,encapsular,streszczać
spanish,C2,invadir,naruszać
spanish,C2,estorbar,obciążać
